old_name	new_name	manifest_key
s1_a0.mp3	id001_a0.mp3	it's nice to meet you today.
s1_b0.mp3	id001_b0.mp3	i look forward to working with you.
s1_a1.mp3	id001_a1.mp3	i'm glad to meet everyone here.
s1_b1.mp3	id001_b1.mp3	i'm excited to work together soon.
s1_a2.mp3	id001_a2.mp3	great to meet the team today.
s1_b2.mp3	id001_b2.mp3	let's learn from each other this month.
s2_a0.mp3	id002_a0.mp3	could you check this report by friday?
s2_b0.mp3	id002_b0.mp3	sure, i'll send my comments tomorrow morning.
s2_a1.mp3	id002_a1.mp3	can you review these slides before noon?
s2_b1.mp3	id002_b1.mp3	no problem, i'll finish it by lunch.
s2_a2.mp3	id002_a2.mp3	could you help with this task today?
s2_b2.mp3	id002_b2.mp3	of course, i'll check the numbers tonight.
s3_a0.mp3	id003_a0.mp3	please handle this order for me.
s3_b0.mp3	id003_b0.mp3	sure, i'll take care of it today.
s3_a1.mp3	id003_a1.mp3	please take the lead on this.
s3_b1.mp3	id003_b1.mp3	leave it with me for now.
s3_a2.mp3	id003_a2.mp3	can you manage the schedule for us?
s3_b2.mp3	id003_b2.mp3	i'll make sure everything goes smoothly today.
s4_a0.mp3	id004_a0.mp3	let's do our best on this project.
s4_b0.mp3	id004_b0.mp3	yes, let's support each other this week.
s4_a1.mp3	id004_a1.mp3	let's work well together from today.
s4_b1.mp3	id004_b1.mp3	i agree, let's stay in touch often.
s4_a2.mp3	id004_a2.mp3	let's make this event a success.
s4_b2.mp3	id004_b2.mp3	yes, we can help each other anytime.
s5_a0.mp3	id005_a0.mp3	thank you for having me here.
s5_b0.mp3	id005_b0.mp3	we hope you enjoy your stay.
s5_a1.mp3	id005_a1.mp3	i appreciate your warm welcome today.
s5_b1.mp3	id005_b1.mp3	please feel at home with us.
s5_a2.mp3	id005_a2.mp3	thanks for letting me join you.
s5_b2.mp3	id005_b2.mp3	we're happy to have you here.
